Unnamed: 0,product_id,Brand,Name,Description,recommended,not_recommended,overall_rating,Scent,Notes,brand_name,Score,max_review,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,User11,User12,User13,User14,User15,User16,User17,User18,User19,User20,User21,User22,User23,User24,User25,User26,User27,User28,User29,User30,User31,User32,User33,User34,User35,User36,User37,User38,User39,User40,User41,User42,User43,User44,User45,User46,User47,User48,User49,User50,User51,User52,User53,User54,User55,User56,User57,User58,User59,User60,User61,User62,User63,User64,User65,User66,User67,User68,User69,User70,User71,User72,User73,User74,User75,User76,User77,User78,User79,User80,User81,User82,User83,User84,User85,User86,User87,User88,User89,User90,User91,User92,User93,User94,User95,User96,User97,User98,User99,User100,Family
40,P408252,Ralph Lauren,Polo Blue Eau de Parfum,"Fragrance Family: Earthy & WoodyScent Type: Citrus & WoodsKey Notes:  Bergamot, Orris, VetiverFragrance Description: A distinctly aquatic cologne, this men's fragrance blends refreshing aquatic accords with the spicy, fresh perfume of basil, verbena, and clary sage deepened by notes of suede, velvety moss, and sheer musk for a fresh and balanced men's cologne.About the Bottle: With this fiery iteration of a classic cologne, the luxe frosted glass bottle is dressed in a translucent red paired with a statement-making chrome cap, echoing the aquatic men's perfume within.About the Fragrance: Evoking the freedom found in the big, blue sky and the energy and fresh perfume of open waters, this iconic aquatic fragrance for men is an invigorating blast of fresh air.",954,146,4.4482,Citrus & Woods," Bergamot, Orris, Vetiver","Ralph Lauren, Polo Blue Eau de Parfum",4.37937969190282,1709,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,Earthy & Woody
80,P408989,Juliette Has a Gun,Not A Perfume Travel Spray,"Fragrance Family: Warm & SpicyScent Type: Warm & SheerKey Notes: Cetalox (Synthetic Ambergris)Fragrance Description: This minimalist, fresh, and clean fragrance is hypoallergenic and ideal for those who don’t normally wear perfume. It is composed of a single note, called cetalox, which is usually used in perfumery as a base note. Here it plays the lead role for a fragrance that will easily satisfy the most difficult tastes, and particularly those preferring discretion over complexity. ""This time, I have created a perfume out of this one ingredient. A perfume that won’t be one, in the conventional sense of the word.""—Romano Ricci, Brand Founder and Perfumer",992,396,3.9522,Warm & Sheer,Cetalox (Synthetic Ambergris),"Juliette Has a Gun, Not A Perfume Travel Spray",4.037034194310703,1731,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,5,2,4,1,5,5,Warm & Spicy
105,P480163,Dior,Dior Homme Sport,"Fragrance Family: Warm & SpicyScent Type: Woody SpicesKey Notes: Bergamot, Elemi, FrankincenseFragrance Description: This eau de toilette for men blends energizing citrus with the enveloping caress of woods and spices. A knockout combination of Calabrian bergamot, lemon, pink pepper, frankincense, amber, and warm woods, this fragrance is the ultimate Dior perfume for men who are both gentle and magnetic.About the Bottle: The monolithic Dior Homme bottle is refreshed with an updated, lightweight elegance. Chiseled with sleek lines, the glass bottle features the line's signature cap: a black block encased by a crystal-clear cube.About the Fragrance: Both fresh and sensual, Dior Homme Sport Eau de Toilette is like an uppercut to the senses, an elegant and magnetic perfume for men.",995,80,4.4688,Woody Spices,"Bergamot, Elemi, Frankincense","Dior, Dior Homme Sport",4.36774933989545,1075,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,Warm & Spicy
208,P420219,KVD Beauty,Sinner Eau de Parfum,"Fragrance Family: Earthy & WoodyScent Type: Warm WoodsKey Notes: Patchouli, Wood, CinnamonFragrance Description: Dark, sultry, and empowering, this perfume is a little sweet, a little spicy, and undeniably fearless. Cinnamon spices up vanilla and white florals at the heart of the fragrance, while base notes of vetiver, patchouli, and wood form the deeper, darker nuances.About the Bottle: KVD Vegan Beauty brought back their most requested products of all time: The Saint and Sinner fragrances. For years, fans and followers asked them to revive this pair of complementary perfumes. Now the beloved Saint and Sinner collection returns more special than ever with the same original scents in beautifully redesigned bottles. (Saint fragrance sold separately.)About the Fragrance:Sinner shares the same floral soul as Saint, with a spicy twist. Different experiences, shared heart—these sister scents can be worn alone or layered together.",386,113,4.1443,Warm Woods,"Patchouli, Wood, Cinnamon","KVD Beauty, Sinner Eau de Parfum",4.166652892736016,2090,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,4,1,5,1,5,3,Earthy & Woody
254,P420220,KVD Beauty,Saint Eau de Parfum,"Fragrance Family: FloralsScent Type: Warm FloralsKey Notes: Vanilla, Musk, JasmineFragrance Description: Dreamy, romantic, and alluring, this perfume fuses top notes of jasmine and tiaré flower with a delicious heart of mandarin, caramel, and sparkling mirabelle plum. Vanilla, sandalwood, and creamy musk impart a warmth that reminds you of falling in love for the very first time.About the Bottle: KVD Vegan Beauty brought back their most requested products of all time: The Saint and Sinner fragrances. For years, fans and followers asked them to revive this pair of complementary perfumes. Now, the beloved Saint and Sinner collection returns more special than ever with the same original scents in beautifully redesigned bottles. (Sinner fragrance sold separately.)About the Fragrance: Saint shares the same floral soul as Sinner, with a sweet twist. Different experiences, shared heart—these sister scents can be worn alone or layered together.",773,138,4.4003,Warm Florals,"Vanilla, Musk, Jasmine","KVD Beauty, Saint Eau de Parfum",4.371037209987279,3799,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,3,5,5,3,5,4,Floral
293,P388772,Lancôme,La Vie Est Belle Rollerball,"Fragrance Family: Warm & SpicyScent Type: Warm & Sweet GourmandsKey Notes: Iris, Patchouli, Vanilla Fragrance Description: This floral perfume entwines iris, patchouli, and Arabian jasmine sambac with sweet notes of orange blossom, warm vanilla, and spun sugar. A modern interpretation of a warm floral, this long-lasting women's fragrance stands out with a twist of gourmand unique to its vanilla perfume base.About the Bottle: Brought to life with the expression of Julia Roberts’ iconic smile, the luxe fragrance bottle captures the essence of happiness in the shape of a smile formed at the base, showcasing the floral women's scent within.About the Fragrance: ‘La vie est belle,’ French for ‘life is beautiful,’ is about choosing your own path to happiness. Inspired by this expression, La Vie Est Belle is an energizing perfume for women who seek happiness and aim to inspire others.",359,58,4.5436,Warm & Sweet Gourmands,"Iris, Patchouli, Vanilla ","Lancôme, La Vie Est Belle Rollerball",4.416103731659372,1145,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,1,5,5,3,5,1,Warm & Spicy
301,P437632,BURBERRY,Her Eau de Parfum Rollerball,"Fragrance Family: FloralScent Type: Fruity FloralKey Notes: Dark Berries, Jasmine, Musk-AmberFragrance Description: Burberry Her Eau de Parfum for women is an artful blend of berries elevated by spirited jasmine and violet and smoothed out with amber and musk. A multifaceted, magnetic fruity gourmand and the scent of freedom.About the Bottle: Interweaving the House’s tailored heritage with unexpected twists and turns, this designer perfume from master perfumer Francis Kurkdjian opens with a dense burst of berries, with black currant, blueberry, and raspberry left to linger in an intense, fruity-floral sweetness. Delicate jasmine and violet unwind their tendrils in a white woody accord, casting the scent in dazzling light that deepens into dry amber and powdery musk at the base for a bold Burberry perfume for women.About the Fragrance: The Burberry Her woman throws herself head first into everything she does, losing herself in the whirlwind of color on her doorstep. Life lived in the fast lane. Shrug loose from the chains of expectation, seize the moment, and play by your own rules: a scent for women who know who they are.",986,169,4.31,Fruity Florals,"Dark Berries, Jasmine, Musk-Amber","BURBERRY, Her Eau de Parfum Rollerball",4.276700601017865,1150,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,Floral
308,P467979,TOM FORD,Costa Azzurra Eau de Parfum,"Fragrance Family: Earthy & WoodyScent Type: Citrus & Woods Key Notes: Cypress, Lemon, OakwoodFragrance Description: The exhilarating aroma of sea air, fresh aromatic notes, evergreens, and citrus set the scene and mingle with deeper woody scents—a crisp medley of cypress, oaks, and aromatics. The cologne captures the easy sensuality of a purely uninhibited escape.About the Bottle: The flacon reflects a warm and elegant presence. The 50 mL and 100 mL editions are each housed in a luxe, fluted bottle with a sleek, gold metal plaque and matching cap.About the Fragrance: ""I have always loved fragrances with a transportive quality. COSTA AZZURRA captures the relaxed and sexy mood of the Mediterranean—for me, it feels like the ultimate escape."" –Tom Ford",786,62,4.5212,Citrus & Woods,"Cypress, Lemon, Oakwood","TOM FORD, Costa Azzurra Eau de Parfum",4.381014813611136,848,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,Earthy & Woody
319,P455023,Dior,Homme Eau de Toilette,"Fragrance Family: Earthy & WoodyScent Type: Warm WoodsKey Notes: Atlas Cedar, Haitian Vetiver, Patchouli HeartFragrance Description: The Dior Homme Eau de Toilette is an alluring combination of power and freshness. It is intensely woody and masculine, taking hold and leaving a lasting impression. Artfully crafted in a juxtaposition with raw sophistication, Dior Homme is for the man confident in both his strength and tenderness.About the Bottle: The Dior Homme bottle has been stylishly reinvented with a sleek and modern design. This sculpted block is made in crystal-clear glass and is an expression of simple and understated elegance, revealing its essential beauty.About the Fragrance: ""The signature of this composition is an overdose of sensual woods. The scent of this new Dior Homme gets straight to the point; it claims a frank, solid simplicity. It is luminous and appealing but also conceals an enveloping softness.""—François Demachy, Dior Perfumer-Creator",1129,106,4.481,Warm Woods,"Atlas Cedar, Haitian Vetiver, Patchouli Heart","Dior, Homme Eau de Toilette",4.383308545682115,1235,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Earthy & Woody
327,P377485,DOLCE & GABBANA,Light Blue Eau de Toilette Travel Spray,"Fragrance Family: FreshScent Type: Fresh Citrus & FruitKey Notes: Citrus, Apple, BambooFragrance Description: Experience the joy of Light Blue—this colorful, fresh, floral, and fruity eau de toilette reflects the sensuality of the Mediterranean lifestyle. Sicilian cedar combines with fresh notes of green apple, while the floral allure and spontaneity of bluebell capture the essence of a sunny, southern Italian summer. Feminine and resolute, the freshness of bamboo softens with a feminine bouquet of jasmine and white rose.About the Bottle: A timeless design inspired by the classic DOLCE&GABBANA parfum, the bottle has a strong, confident, and feminine shape—reflecting today‘s modern woman. Its light blue cap evokes the clear skies of the Mediterranean.",405,67,4.5522,Fresh Citrus & Fruits,"Citrus, Apple, Bamboo","DOLCE & GABBANA, Light Blue Eau de Toilette Travel Spray",4.486574076952004,3054,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,1,3,5,5,1,4,Fresh
328,P466653,Atelier Cologne,Lemon Island Pure Perfume,"Fragrance Family: FreshScent Type: Fresh SolarKey Notes: Lemon from Indian Ocean, Jasmine from India, Vanilla Infusion from MadagascarFragrance Description: A sweet perfume pairing bright lime and natural coconut to recall that moment of sipping a tropical cocktail on a beach.About the Bottle: Atelier Cologne’s perfume bottles have always been and will always be recyclable and refillable—it is who they are. The brand also loves the aesthetic, an unpretentious throwback to apothecary days. As an added benefit, it fits in your hand perfectly for easy application.About the Fragrance: Inspired by travels in the Indian Ocean region, the object was to find the perfect ingredients to express this experience olfactively. Combining salty jasmine of India and sweet vanilla from Madagascar captures a solar quality. Green lemon from Rodrigues, used for the first time in perfumery, adds vitality resulting in the perfect solar aquatic scent.  A pure perfume, more concentrated than an eau de parfum, made of ingredients of 90 percent natural origin.",2174,531,4.0159,Fresh Solar,"Lemon from Indian Ocean, Jasmine from India, Vanilla Infusion from Madagascar","Atelier Cologne, Lemon Island Pure Perfume",4.062822834063795,2705,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,1,5,5,5,4,5,Fresh
